# mode=cpu+gpu cpu=Intel(R) Core(TM) Ultra 9 275HX cores=24 workers=4 gpu=NVIDIA GeForce RTX 5080 Laptop GPU (discrete) godot=4.7.1-stable (official) timer=extended
bodies,awake,contacts,step_avg_ms,step_max_ms,fps_avg,fps_min
2000,2000,2000,0.745,1.893,478.5,1.0
4000,4000,4000,1.321,3.334,503.2,502.0
8000,8000,9292,2.786,6.003,394.0,359.0
16000,16000,33055,6.851,11.700,255.7,180.0
24000,24000,50560,10.183,12.871,153.9,34.0
32000,32000,48917,14.416,18.084,58.6,11.0
48000,48000,71712,22.559,31.799,9.6,2.0
64000,64000,96924,27.666,33.483,3.9,2.0
